LOC.,TAG,OPERATOR COMPLAIN,PROBLEM,ACTION TAKEN,DATE
A4,51-LT-065,,PMR,Cancelled due to bad weather,1/1/2015
A4,56-XV-501B,,No problem,"Check solenoid found de-energizeed, Ask operator to energize it from the panel then the valve opened correctly and no problem found, Clean valve and solenoid and check valve struck several times found no problem.",1/1/2015
A2A,04-Z-52,,Fail sequence,"Dismantle the pressurization valve diaphragm, Repair its cut using locktite and red seal, Return back in service then function check found ok.",1/1/2015
A2B,15-LT-015,,Blockage,"Clear blockage from low side tap point then refill seal pot with glycerin, Check zero found ok and check reading found matched with LG.",1/1/2015
A2B,07-FT-012,,Calibration,"Zero calibration was done, Span check was done found ok and function check found ok",1/1/2015
A2B,14-PSL-032A,,False alarm,"Check switch setting found ok, Tap points were blocked. Note : The steam Trace was isolated.",1/1/2015
A2B,15-LV-002,,PMR,PMR was carried out.,4/1/2015
A2B,15-LV-022,,PMR,PMR was carried out.,4/1/2015
A2B,13-LSLL-002,,PMR,PMR was carried out.,4/1/2015
,13-LSHH-081,,PMR,PMR was carried out. ,4/1/2015
,13-TE-043,,No problem,Check the temp. element in the EMC W/S found ok. Loop check was done found ok,4/1/2015
,13-TE-038,,Broken Ceramic,Replace the element by a new one and Loop check was done found ok. We couldn't tighten on it screws as there was aproblem in thermowell. Wait S/D to check thermowell.,4/1/2015
,06-TE-003,,No problem,Check the temp. element in the EMC W/S found ok. Loop check was done found ok,4/1/2015
,06-PT-006,,No problem,"Zero, Span and O/P mA check were done found ok. 
Note:The power socket lock in electronic module was brocken.",4/1/2015
,      51-FV-060,,Extend cable,Survey was done to determine the JB position.,4/1/2015
,06-FT-003,,No problem,"Zero, Span and O/P mA check were done found ok.
 Note:high isolation valve was passing.",4/1/2015
,14-FV-002,,PMR,PMR was carried out.,5/1/2015
,14-FV-016,,PMR,PMR was carried out.,5/1/2015
,12-LV-052,,PMR,Stopped missing i/P.,5/1/2015
,12-LV-063,,PMR,PMR was carried out. ,5/1/2015
,12-LV-031,,PMR,PMR was carried out. ,5/1/2015
,12-LV-010,,PMR,PMR was carried out. ,5/1/2015
,15-FT-37,,Blockage,"Clear blockage, flushing then zero and span check were done found ok.",5/1/2015
,15-FT-38,,Blockage,"Clear blockage, flushing then zero and span check were done found ok. Note: need 2 cover O-rings, power socket lock in electronic module was brocken.",5/1/2015
,13-BE-02,,Loosen fuse,"Fix the fuse, adjust the view angle and check reading found ok",5/1/2015
,51-PCV-024A ,,Install,"Transfer the valve to the tank roof.Check found the new process connections for the valve different from the old one, witing for modification to fit our valve",5/1/2015
,51-FV-060,,Extend cable,Transfer the cable roller to the LPG area,5/1/2015
,51-EBV-461,,Defective cable,"Check found defective pair(+18,-18), Swap by a last spare one (+24,-24) and loop check found ok.",5/1/2015
,52-LA-002,,Alarm,"Check found low temp alarm, Clean it and check temp reading found 12°C and alarm set point 10°C, Adjust alarm set point to 0°C as LA-004.",8/1/2015
,13-FT-021,,Blockage,"Clear blockage from high side tap point, Flushing low side tap point and both impulse tubes, Replace the manifold by another old one as its high side is blocked, Zero/Span check found ok, Check reading found ok.",8/1/2015
,15-LT-015,,Blockage,"Clear blockage from tap points and drains, Refill seal pot and the tubes with glycerin, Rerange the Tx to be LRV= -2153 mmH2O  URV= -570 mmH2O, Put Tx in service and check reading found it matching the LG.
Note: Thermal insulation need to be repaired",8/1/2015
,07-PT-014,,Calibration,"Zero calibration and span check were done, Check reading found ok.",8/1/2015
,04-PT-036,,Calibration,"Reset, Zero/Span calibration were done, Check reading found it      -8 mmH2O & accepted by operation.",8/1/2015
,Unit (13),,Install PG,Install the dismantled gauges on P03A & P04A.,8/1/2015
,Unit (14),,Install PG,"* Install new gauge on P03A & P01A.
* Install new isolation valve on P51A. 
* Install the dismantled gauges on P03B, P51A & P51B.",8/1/2015
,Unit (15),,Install PG,"* Install new isolation valve on P01B.
* Install the dismantled gauges on P02B, P01B & P51A.",8/1/2015
,04-PT-047A,,Defective cell,"Replace the dp cell by another used one, Full calibration was done and check reading found 10.2 Bar & matching PT047C reading.",8/1/2015
,04-FSL-805,,Defective hose,Replace the defective air hose by a new one.,8/1/2015
,04-PSL-734,,Condensate in impulse line,"Check found the impulse tube was filled with condensate; Clear it then check switch set point found ok, put it in service and no alarm present.",8/1/2015
,15-LT-035,,Blockage,"Clear blockage from tap points, Refill seal pot and the tubes with glycerin, Put Tx in service and check reading found matched with LG.",9/1/2015
,13-PT-008,,Defective electronic,"Replace electronic module by another old one, Flushing was done, Check reading found ok.",9/1/2015
,04-PT-047B,,Defective cell,"Check found defected cell & there's a leakage from the tap point due to defective fitting; Replace the Tx with its IGP cell by Used Tx with new IDP cell, Fabricate new tube, Install new 3/4""X12mm fitting; Zero/Span check found ok",9/1/2015
,15-LT-015,,Blockage,"Clear blockage from tap points, Refill seal pot and the tubes with glycerin, Rerange the Tx to be LRV= -2104 mmH2O  URV= -520 mmH2O, Put Tx in service and check reading found matched with LG.",9/1/2015
,45-FT-001,,Hunting,Clear blockage and zero check found ok.,10/1/2015
,04-FSL-805,,No problem,Function check found ok and no problem found.,10/1/2015
,51-LT-085,,PMR,PMR was carried out.,11/1/2015
,51-LT-086,,PMR,PMR was carried out.,11/1/2015
,51-FV-060,,Defective cable,Transfer the cable roll from yard to LPG area. Note: there is a sand drift in front of the cable roll holder at CR-08 so we can not remove the old roll to take the holders to continue extending the cable.,11/1/2015
,07-BSL-005,,Pilot alarm,Adjust air/fuel ratio.then check found ok.,11/1/2015
,04-VSH-002F,,Alarm,Adjust vibration setting then function check found ok.,11/1/2015
,04-XV-562A,,Force,Force the valves open/close then return back in service as operation request.,11/1/2015
,Unit (13),,Check PG,"Check PGs as per attached list, Report was sent by e-mail.",11/1/2015
,Unit (14),,Check PG,"Check PGs as per attached list, Report was sent by e-mail.",11/1/2015
,Unit (15),,Check PG,"Check PGs as per attached list, Report was sent by e-mail.",11/1/2015
,04-FT-554B,,Survey,Visual survey was done then prepare new Tx to be installed when operation request.,11/1/2015
,14-LT-004,,Wrong reading,"Check error code found E641, Dismantle Tx and transfer to EMC W/S, Clean antenna rod, Zero & Span check found ok, Check configuration found ok, Reinstall again and check reading found      (0%) and increased gradually.",11/1/2015
,13-TT-170,,PMR,PMR was carried out.,12/1/2015
,13-FT-059,,PMR,PMR was carried out.,12/1/2015
,51-LT-065,,PMR,PMR was carried out.,12/1/2015
A2A,02-LSLL-014,,PMR,PMR was carried out. ,12/1/2015
A2A,02-LSHH-013,,PMR,PMR was carried out. ,12/1/2015
,04-LSHH-016,,PMR,PMR was carried out. ,12/1/2015
,04-LSHH-012,,PMR,PMR was carried out. ,12/1/2015
,04-LSHH-013,,PMR,PMR was carried out. ,12/1/2015
,54-PK-09,,Start up,"Check the local&remote found loose in the start push button, tighten on it then check local start found ok. The pump can not start remotely due to that the analyzer state (54-ASHH-001) is not achieved. ",12/1/2015
,54-PK-14,,Remove Inst.,"Remove PI-960,961 and PCV-01B and transfer to EMC W/S",12/1/2015
,04-FSL-805,,Actual alarm,Check found alarm due to the Fan pressure is less than the switch set point.,12/1/2015
,51-FV-060,,Extend cable,"Check the cable megger found 0.01 M ohm on 50 V which is too small, Consult Elec. Dept, told us to cut a part from the cable start/end the remegger again, to be continued tommorrow.",12/1/2015
,51-FT-008,,I/O bad,"Reset, check found partial blockage at taps, clear blockage and refill seal pots and impulse lines with glycrine. Zero and Span calibration was done. Check reading found ok.",12/1/2015
,04-HZT-15,,I/O bad,"Check found water inside it, as it's cover was not fixed. Clean electronic card using CRC and fixed it by tie-rape and red seal then check found ok. ",12/1/2015
,52-LA-04,,Low flow,"Function check found no alarms, the operator complains that the loading rate is small which should be checked while loading a truck, waiting for truck presence to check loading rate.",12/1/2015
,14-LT-004,,Reading Fall,Reset to factory sitting then reconfiguration and echo suppertion were done. Then check reading found ok. Recomm. Replace H.F module by other new.,12/1/2015
,13-HV-014,,Stuck,Clean and grease the pneumatic switch and check valve feed back found ok,12/1/2015
,07-LDT-013,,Calibration,Zero/Span calibration were done then function check found ok. Note: visual check for L.G found it's mica need to be replaced.,13/01/2015
A2A,02-PT-023A,,PMR,PMR was carried out. ,13/01/2015
A2A,02-PT-023B,,PMR,PMR was carried out. ,13/01/2015
A2A,02-PT-023C,,PMR,PMR was carried out. ,13/01/2015
,12-PV-025,,PMR,PMR was carried out. ,13/01/2015
,12-PV-010,,PMR,PMR was carried out. ,13/01/2015
,12-PV-032,,PMR,PMR was carried out. ,13/01/2015
A2A,02-PT-021,,PMR,PMR was carried out. ,13/01/2015
A2A,02-PT-022,,PMR,PMR was carried out. ,13/01/2015
A2A,02-PT-019,,PMR,PMR was carried out. ,13/01/2015
A2A,02-PT-037,,PMR,PMR was carried out. ,13/01/2015
,04-FT-554B,,Install,Install a new YOKOGAWA TX with new gland & shroud then complete configuration were done,13/01/2015
,13-PI-230,,,Check the gauges as list and sent by mail.,13/01/2015
,51-FV-060,,Extend cable,Megger and Contiuity check were done for the two cables found ok.,13/01/2015
,52-LA-04,,Replace Diaphragm,Replace the defctive diaphgram by  new one and check the flow rate found ok.,13/01/2015
,04-K-02B,,Survay,Arrange all inst. Cable and repair tubes for PSL & PSLL of the 2nd stage suction. NOTE: TI-713D/F&PI-703 need glasses,13/01/2015
,51-MOV-281,,install Main PCB,"Install the Main PCB and adjust open and close limits and function check found ok but no communication due to the PACKSCAN F.C.U. is missing, Waiting spare.",13/01/2015
,45-TE-005,,Dismantle,Dismantle the element & it's thermowell and transfer them to EMC W/S.,14/01/2015
A2A,02-H-01,,Pilot alarm,Clean nozzles and adjust air/Fuel ratio.,14/01/2015
,12-FT-050,,PMR,"PMR was carried out. 
Note : high and low isolation valves of manifold are passing.",14/01/2015
,05-PT-031,,PMR,PMR was carried out. ,14/01/2015
,13-LSLL-069,,PMR,PMR was carried out. ,14/01/2015
,13-LSLL-070,,PMR,"PMR was carried out. 
Note : the drain was blocked.",14/01/2015
,15-LT-015,,Blockage,Clear blockage from low side and refill impulse tubes & seal pot with glycrine then zero check found ok after change range to -2079 : -495 mmh2o.,14/01/2015
,51-FT-023,,No problem,"Flushing , refill impulse lines with glycrine then zero & span calibration were done .",14/01/2015
,51-FV-060,,Extend cable,Stopped (Waiting FORKLIFT).,14/01/2015
,45-TE-005,,Install,Install the element & it's T.W again and install tag no.,14/01/2015
,04-k-02A/B,,No problem,Check the auto start & stop action for cooling console pumps found ok.,14/01/2015
,51-FV-060,,Extend cable,Extend the multi pair cable to the rest of the route.,15/01/2015
,51-MOV-281,,Defective FCU,"Install the provided spare card found defective, waiting spare.",15/01/2015
,51-LT-002,,wrong reading,"Clean the displacer, balance test was done found ok , Calibrate the Tx as operator hand dip.",15/01/2015
,04-FSL-705,,Check,"Dismantle the switch and transfer it to EMC W/S and check its set point found it sets at 1 mmH2O , Reset at 7 mmH2O 
Reinstall the switch and function check fund it ok.",15/01/2015
,14-LT-021,,wrong reading,"Reset , refill impulse tubes with rich amine , zero/span calibration were done , then check reading found it ok and matched with LG.",16/01/2015
,14-FT-029,,Blockage,"flushing , clear blockage from high tap point , zero / span check found ok then check reading found it ok.",16/01/2015
,14-TE-042,,loose wire ,replace the defective screw with another one then check reading with DCS found it ok .,16/01/2015
,07-K-01B,,Defective Quick exhaust,"check found that the quick exhaust is defective , replace it by new one then check it while compressor is running found it being defective Dismantle it , fabricate new diaphragm , reinstall it ,check it while compressor is running found it ok.",16/01/2015
,07-K-01C,,Defective Quick exhaust,"check found that the quick exhaust is defective , Dismantle it , fabricate new diaphragm , reinstall it ,function check found it ok.",16/01/2015
,15-LT-003,,wrong reading,###############################################################################################################################################################################################################################################################,17/01/2015
,07-LDG-215,,Clean,"Clean the level glass, Purge both tap points and check level found matched with LDT-013.",18/01/2015
,07-P-008,,Install PG,Install a used PG on the discharge of the pump.,18/01/2015
,45-LT-009,,Check,"Remove the defective tube with its flange then transfer to EMC W/S to be repair, Replace the power module by an old one, To be continue.",18/01/2015
,15-LT-003,,Calibration,"Check found error code E641, Echo suppresion was done as per operator hand dip then check reading found ok.",18/01/2015
,04-FSL-605,,Check,"Complete function check found ok, The switch setting is 2 mmH2O , reset at 7 mmH2O and the fan o/p is 10 mmH2O.",18/01/2015
,54-PK-014,,Install Inst,Install PI-961 and PCV-01B and waiting for spare for PCV-01A.,18/01/2015
,51-FV-060,,Cable routing,Waiting for a cable joint.,18/01/2015
,45-LT-009,,Defective impulse tube,"Fabricate new impulse tube then Check found that the manifold was blocked and its screws were corroded, Dismantle Tx and transfer to EMC W/S, Try to dismantle the manifold but useless, Waiting spare.",19/01/2015
,04-FSL-805,,Readjust setting,"Dismantle the switch and transfer to EMC W/S, Readjust the setting as requested:  Alarm = 2 mmH2O , Reset = 6 mmH2O, Reinstall again and check found no alarm.",19/01/2015
,51-FV-060,,Cable routing,Waiting long bed to carry the cable roll holders.,19/01/2015
,54-PI-960,,Install,Pressure gauge installed.,19/01/2015
,54-PK-09,,Clean LG,LG cleaned and tested.,19/01/2015
,54-PK-10,,Check PCV,"Check the PCV found ok, There's a blockage in the lines.",19/01/2015
,51-LIT-001,,PMR,PMR was carried out.,20/01/2015
,51-LIT-085,,PMR,PMR was carried out.,20/01/2015
,51-LIT-087,,PMR,PMR was carried out.,20/01/2015
,53-LSHH-06,,PMR,PMR was carried out.,20/01/2015
,51-PV-060,,Cable routing,Extend part of the cable were done,20/01/2015
,07-PSL-751,,PMR,PMR was carried out,20/01/2015
,07-PSL-752,,PMR,PMR was carried out,20/01/2015
,07-PT-745,,PMR,PMR was carried out,20/01/2015
,07-PT-748,,PMR,PMR was carried out,20/01/2015
,07-PT-749,,PMR,PMR was carried out,20/01/2015
,07-PT-753,,PMR,PMR was carried out,20/01/2015
,07-PT-758,,PMR,PMR was carried out,20/01/2015
,07-TE-776A,,PMR,PMR was carried out,20/01/2015
,07-TE-776B,,PMR,PMR was carried out,20/01/2015
,07-TE-767A,,PMR,PMR was carried out,20/01/2015
,07-TE-767B,,PMR,PMR was carried out,20/01/2015
,07-TE-768,,PMR,PMR was carried out,20/01/2015
,07-TE-060,,PMR,PMR was carried out,20/01/2015
,07-TE-061,,PMR,PMR was carried out,20/01/2015
,07-TE-062,,PMR,PMR was carried out,20/01/2015
,07-TE-063,,PMR,PMR was carried out,20/01/2015
,07-TE-064,,PMR,PMR was carried out,20/01/2015
,07-TE-065,,PMR,PMR was carried out,20/01/2015
,07-TE-066A,,PMR,PMR was carried out,20/01/2015
,07-TE-066B,,PMR,PMR was carried out,20/01/2015
,07-TE-769,,PMR,PMR was carried out,20/01/2015
,07-TE-770A,,PMR,PMR was carried out,20/01/2015
,07-TE-770B,,PMR,PMR was carried out,20/01/2015
,07-TE-771A,,PMR,PMR was carried out,20/01/2015
,07-TE-771B,,PMR,PMR was carried out,20/01/2015
,07-TE-777,,PMR,PMR was carried out,20/01/2015
,07-TE-778,,PMR,PMR was carried out,20/01/2015
,13-PI-233,,Leakage,Leakage was stopped,20/01/2015
,13-LSH-013,,Leakage,Leakage was stopped,20/01/2015
,13-PV-014,,Wrong FB,Adjust the proximity switch of the close postion,20/01/2015
,45-LT-09,,Replace TX.,Replace the TX. By an old one and zero check found ok,20/01/2015
,07-FT-023C,,No problem,"Flushing, Zero/Span and mA check were done found ok",20/01/2015
,07-FT-023A,,No problem,"Flushing, Zero/Span and mA check were done found ok",20/01/2015
,07-FT-023B,,No problem,"Flushing, Zero/Span and mA check were done found ok",20/01/2015
,07-FT-017,,No problem,Complete function check found ok and no proplem,20/01/2015
,13-FT-035,,I/O bad,Reset power and check reading found ok,20/01/2015
,07-FT-06,,Wrong reading,Reset power and zero check found ok,20/01/2015
,51-LT-020,,PMR,PMR was carried out.,21/01/2015
,UNIT 06,,PMR,Pump station survay were done,21/01/2015
,51-FV-060,,Transfer cable roll,Transfer the cable roll from the Yard to LPG tanks area and waiting the civil to finish digging to continue extending the cable.,21/01/2015
,51-FT-014,,I/O bad,"Reset power and check reading found ok. Note: the electronic module power socket is broken, recommend to replace it.",21/01/2015
,12-PV-040,,PMR,PMR was carried out,21/01/2015
,12-PV-035B,,PMR,PMR was carried out,21/01/2015
,12-PV-061A,,PMR,PMR was carried out,21/01/2015
A2A,02-VSH-002A,,PMR,PMR was carried out,21/01/2015
A2A,02-VSH-002C,,PMR,PMR was carried out,21/01/2015
A2A,02-VSH-002D,,PMR,PMR was carried out,21/01/2015
A2A,02-VSH-002B,,PMR,The fan was isolated electrically,21/01/2015
,13-LSLL-037,,PMR,"PMR was carried out
Note: Need new return spring for the micro switch",21/01/2015
,13-LSLL-012,,PMR,PMR was carried out,21/01/2015
,13-LSLL-010,,PMR,PMR was carried out,21/01/2015
,07-FT-015,,No problem,"Zero/Span and mA check were done found ok
Note: Needs 2 vent plug 1/4"" for the manifold.
         Need 2 cover O-rings.",21/01/2015
,07-FT-114,,No problem,"Zero/Span and mA check were done found ok
Note: Install new cable gland and shroud.
         Need 2 cover O-rings.",21/01/2015
,07-FT-034,,Wrong reading,"Zero/Span and mA check were done found ok.
Note:  Install new cable gland and shroud.
          Need 2 cover O-rings.",21/01/2015
,13-LSLL-037,,Install return spring,Replace the return spring by an old one,21/01/2015
,45-LT-003,,No problem,"Check the cofiguration & alarms found ok, the operation open the bypass between the tanks and check reading found it matching LT014 reading.",21/01/2015
,52-LA-004,,DA alarm ,"check found DA alarm (High pressure alarm), Clear alarms then check loading found it ok.",22/01/2015
,52-LA-003,,No problem ,function check was done for the ground connection and found ok.,22/01/2015
,54-FT-022,,wrong reading,Zero and span calibration were done .,22/01/2015
,51-FT-014,,Install new,"Replace the Tx by new yokogawa one, refill impulse tubes with 50% water and 50%glycrein, clear partial blockage from tap points then check reading found it ok",22/01/2015
,13-TV-036,,PMR,PMR was carried out ,22/01/2015
,13-TV-037,,PMR,"PMR was carried out 
NOTE need 2 pressure gauge for air supply  and I/P (1/4"")",22/01/2015
,13-TV-086,,PMR,PMR was carried out ,22/01/2015
,04-VSH-002A,,PMR,PMR was carried out ,22/01/2015
,04-VSH-002E,,PMR,PMR was carried out ,22/01/2015
,04-VSH-012B,,PMR,PMR was carried out ,22/01/2015
A2A,03-FT-005G,,Need reset ,"Reset , zero check was done found it ok then check reading found it ok and matched with 03FT005E.",22/01/2015
,07-FT-114,,No problem,"zero, span and mA check were  done found ok then check reading found it ok .",22/01/2015
,13-PT-058,,No problem,zero/span  check were  done found ok then check reading found it ok .,22/01/2015
,04-P-54A,,No problem,check pump stroke found no problem ,22/01/2015
,04-FT-006,,wrong reading,"flushing was done to clear condensate, zero/span check found ok then check reading found it ok .",22/01/2015
,04-FT-013,,wrong reading,"Reset, zero/span calibration were  done then check reading found it ok .
NOTE : The main isolation valve of low side tap point is passing ",23/01/2015
A2A,03-PT-045,,wrong reading,"Reset, zero check was done found it ok then check reading found it ok .",23/01/2015
A2A,03-H-01,,pilot alarm ,clean nozzles and adjust air / fuel ratio ,23/01/2015
,15-LT-003,,I/O bad,"Check alarms found E641, Factory reset then reconfigure it; Carried out Customer TVG as operator hand dip then check reading found ok. ",23/01/2015
,15-LT-003,,I/O bad,"Check found E641 alarm reset it then check found that the alarm was cleared after short time the check Tx reading found I/O bad, ",23/01/2015
,15-LT-003,,I/O bad,"Check found E110 alarm & E103 warning, Reset the Tx (several times) but the alarm still present, parameters check was done found ok.
Waiting for spare electronic module & HF module.",23/01/2015
,52-LA-004,,HP alarm ,"* Check found High pressure alarm, clear it.
* Reset 52PT002D, zero check and span calibration  were done then check loading found it ok.",23/01/2015
